indices,name,text,target,neg,neu,pos,compound
10,tear,   goodbyes are for me a tear without even knowing it blooms around my eyes the words that i could not bring myself to say flow down and lingering regret crawls over my face to me you were once my dear but now you’re merely a bitter beer my heart that’s stained with belated selfloathing becomes empty even with the passing breeze at the end of my play where breakup was a lie the price that i had to pay came to me if someone said they would turn back the time for me would i have been able to be a bit more honest the bare face that only i know the ugly and pathetic old friends within me would you still be able to love me again like before with that smile with which you used look at me stop saying things like forever forever after all the end originally exists if there’s a start i don’t wanna listen to that words that are too correct or too much consolation i don’t wanna listen to that i was just so scared because it seemed like perhaps i had never loved you at all although it was late that you were true that only you loved me more   you’re my tear you’re my you’re my tear you’re my tear you’re my you’re my tear you’re my tear you’re my you’re my tear what more can i say you’re my tear   we walked towards the same place but this place becomes our last although we used to talk about forever now we break each other without mercy although we thought that we dreamed the same dream that dream has finally become a dream my heart is torn please burn it instead so that pain and regret none of that would be left   you’re my tear you’re my you’re my tear you’re my tear you’re my you’re my tear you’re my fear you’re my you’re my fear what more can i say you’re my   goodbyes are tear because things like tears are a luxury there’s no such thing as beautiful goodbyes so just begin now woo take it easy slowly carve out my heart that’s right that’s right gently step on the shards that have shattered so that regret regret such a thing will no longer be left please burn up my heart that was torn into shreds that’s right right there what are you hesitating for this is the ending you were wishing for so go on and kill me without hesitating woo yeah yeah burn it woo yeah yeah yeah burn it woo yeah yeah yeah burn it so not even the ashes remain   this is the real you and this is the real me now we’ve seen the end and not even resentment is left i’ve woken up from the sweet dream and i close my eyes this is the real you and this is the real me   we walked towards the same place but this place becomes our last although we used to talk about forever now we break each other without mercy although we thought that we dreamed the same dream that dream has finally become a dream my heart is torn please burn it instead so that pain and regret none of that would be left   you’re my tear you’re my you’re my tear you’re my tear you’re my you’re my tear you’re my fear you’re my you’re my fear what more can i say you’re my   what should i say we know the answer is fixed but replying is always hard   why are you spilling it why are you tearing it up it’s useless to me goodbye to me is only those moments  the moment you say words from your mouth the moment our focus becomes irregular at the moment where everything is dangerous our end that two letters handed to us that i won’t cry that i won’t tear it up i can’t say those kinds of words in the future i too breakup incurable disease you’re my beginning and my end that is all my meeting and my farewell you were everything step forward fear it will be repeated caused by you tear tear  ,1,0.176,0.701,0.123,-0.9923
11,epiphany,   so weird i for sure loved you so much adapted to you with everything i wanted to live my life for you but as i keep doing that i just cant bear the storm inside my heart the real myself inside the smiling mask i reveal it entirely   i’m the one i should love in this world shining me precious soul of mine i finally realized so i love me not so perfect but so beautiful i’m the one i should love   i’m shaking and afraid but i keep going forward i’m meeting the real you hidden in the storm why did i want to hide my precious self like this what was i so afraid of why did i hide my true self   i’m the one i should love in this world shining me precious soul of mine i finally realized so i love me not so perfect but so beautiful im the one i should love   i may be a bit blunt i may lack some things i may not have that shy glow around me but this is me my arms my legs my heart my soul   i wanna love in this world shining me precious soul of mine i finally realized so i love me not so perfect but so beautiful im the one i should love   i’m the one i should love i’m the one i should love  ,1,0.082,0.542,0.376,0.9987
12,idol,   you can call me artist  you can call me idol  no matter what you call me i don’t care i’m proud of it  i’m free  no more irony  cuz i was always just me   they point fingers at me but i don’t care at all whatever the reason for your criticism is i know what i am  i know what i want  i never gon’ change  i never gon’ trade    keep on chitchatting saying this and that i do what i do so you do you you can’t stop me lovin’ myself   eolssu i like it you can’t stop me lovin’ myself i like the shouts you can’t stop me lovin’ myself   ohohowoah ohohowoahowoah ohohowoah dunkiduk kungduruhruh ulssu ohohowoah ohohowoahowoah ohohowoah dunkiduk kungduruhruh ulsoo   face off just like john woo ay top star with that spotlight ay sometimes like a superhero im your anpanman 24 hours isn’t enough can’t afford to be confused i do my thang  i love myself    i love myself i love my fans love my dance and my what there are hundreds of me’s inside of me i’m facing a new me again today it’s all me anyway so instead of worrying i’m just gonna run runnin’ man runnin’ man runnin’ man   keep on chitchatting saying this and that i do what i do so you do you you can’t stop me lovin’ myself   eolssu i like it you can’t stop me lovin’ myself i like the shouts you can’t stop me lovin’ myself   ohohowoah ohohowoahowoah ohohowoah deonggideok kungdeoreoreo eolssu ohohowoah ohohowoahowoah ohohowoah deonggideok kungdeoreoreo eolssu   i’m so fine wherever i go even if it takes a while sometimes it’s okay i’m in love with mymy myself it’s okay i’m happy in this moment   ulssu i like it you can’t stop me lovin’ myself i like the shouts you can’t stop me lovin’ myself   ohohowoah ohohowoahowoah ohohowoah dunkiduk kungduruhruh ulssu ohohowoah ohohowoahowoah ohohowoah dunkiduk kungduruhruh ulssu  ,1,0.098,0.671,0.231,0.9951
13,answer-love-myself,   i’m opening my eyes in the darkness when my heartbeat sounds unfamiliar i’m looking at you in the mirror the fearridden eyes asking the question   loving myself might be harder than loving someone else let’s admit it the standards i made are more strict for myself the thick tree rings in your life it’s part of you it’s you now let’s forgive ourselves our lives are long trust yourself when in a maze when winter passes spring always comes   from the eyes of the cold night i try to hide myself as i keep tossing and turning ey maybe i fell in order to take the place of those countless stars the target of  thousands of bright arrows is me alone   you’ve shown me i have reasons i should love myself  i’ll answer with my breath my path   the me of yesterday the me of today the me of tomorrow  with no exceptions it’s all me   maybe there’s no answer maybe this isn’t the answer either it’s just that loving myself doesn’t require anyone else’s permission i’m looking for myself again but i don’t wanna die anymore me who used to be sad me who used to be hurt it’ll make me more beautiful   yes i have that beauty knowing that is going on the path to loving myself it’s what i need the most i’m walking for myself it’s an action needed for me my attitude towards myself that’s the happiness i need for me i’ll show you what i got i’m not afraid because it’s me love myself   from the very beginning to the very end there’s only one answer ey why do you keep trying to hide under your mask  even all the scars from your mistakes make up your constellation    you’ve shown me i have reasons i should love myself  i’ll answer with my breath my path   inside of me there’s still that awkward part of me but    you’ve shown me i have reasons i should love myself  i’ll answer with my breath my path   the me of yesterday the me of today the me of tomorrow   with no exceptions it’s all me  ,1,0.077,0.775,0.148,0.9878
14,magic-shop,   i know that you’re hesitating because even if you say the truth in the end it will all return as scars i’m not going to say anything blatant like “find strength” i will let you hear my story let you hear it   what did i say i said you’d win didn’t i i couldn’t believe it  could i win it this miracle that isn’t a miracle did we make it  i was here you were the one that made your way to me i do believe your galaxy i want to listen to your melody your stars in the milky way don’t forget that i found you anyways at the end of my despair you’re the last reason for me who was standing at the edge of the cliff live   on days where i hate myself for being me on days where i want to disappear forever lets make a door its in your heart open the door and this place will await magic shop   while drinking a glass of hot tea and looking up at the milky way you’ll be alright oh this here is the magic shop   so show me  so show me  so show me  show you show you   like a rose when blooming like cherry blossoms when being scattered in the wind like morning glory when fading like that beautiful moment i always want to be the best so i was impatient and always restless comparing myself with others became my daily life my greed that was my weapon suffocated me and also became a leash but looking back on it now truthfully i feel like it’s not true that i wanted to be the best i wanted to become your comfort and move your heart i want to take away your sadness and pain   i want to disappear forever lets make a door its in your heart open the door and this place will wait magic shop drink a cup of warm tea looking up at the milky way youll be fine oh   so show me  so show me  so show me  show you show you   would you believe me if i said that i was scared of everything too all the sincerity the remaining times all your answers are in this place you found in your milky way inside your heart   you gave me the best of me so youll give you the best of you you found me you knew me you gave me the best of me so youll give you the best of you youll find it the galaxy inside you   so show me  so show me  so show me  show you show you  ,1,0.068,0.766,0.166,0.9925
15,best-of-me,   when you say that you love me feels like i’m walking across the sky tell me about forever just one more time when you say that you love me i just need those words that you’ll never change just one more time   you’re everything in this world to me harder so it hurts hold me tight we shared something and you can’t make it nothing i hope you don’t forget you’re my day by day summer winter even if you don’t know   you got the best of me you got the best of me so please just don’t leave me you got the best of me   i haven’t seen the end to myself either but if there’s such a thing wouldn’t it be you i wanted to be a warm wave but why didn’t i know you’re the ocean what do i do i’m speaking in your language i’m breathing in your breath i’ll be you you hold me i’m kissing your sword   so take my hand right now i can’t believe myself words i said thousands of times only to myself don’t leave me you got the best of me you got the best of me whether this is a dream or reality it’s not important just the fact that you’re by my side thanks   day by day summer winter even if you don’t know   you got the best of me you got the best of me so please just don’t leave me you got the best of me   you’re my salvation you’re my shield i just need you you got the best of me i need you so please just don’t leave me you got the best of me   it was raining it was snowing but all unhappiness stopped you brought heaven to me don’t speak so easily because without you there’s no me you’re the best of me the best of me   just give me assurance that’s all i want even if there are no rules laws of love do exist who got the best of me who got the best of me no one knows but i know me my greatest master is you   you got the best of me you got the best of me so please just don’t leave me you got the best of me   you’re my salvation you’re my shield i just need you you got the best of me i need you so please just don’t leave me you got the best of me   when you say that you love me feels like i’m walking across the sky tell me about forever just one more time when you say that you love me i just need those words that you’ll never change just one more time  ,1,0.037,0.64,0.324,0.9996
16,mic-drop,   yeah who says my spoon is dirty i don’t care when i grab the mic i have several gold spoons several uncooked steaks over there make me mad once again i’ll chew you all up on the night of the stars center of world business 1st on the recruitment list sold out this class is not common enjoy this value bad odors with good scents are against the rules mic mic bungee   mic mic bungee bright lights going forward you thought i was gonna fail but i’m fine sorry sorry billboard sorry worldwide sorry mom your son’s too hot i’m being a good son in place of you no cons in our concerts i do it i do it you’re a bad ratatouille if you’re jealous sue me sue it   did you see my bag did you see my bag my bag’s filled with trophies how you think bout that how you think bout that haters are already giving up my success is already so golden i’m so firin’ firin’ like a torchbearer you’re rushing to run away how you dare how you dare how you dare   so many trophies in my hands too heavy my hands aren’t enough  mic drop mic drop careful of your feet careful of what you say lodi dodi i’m so busy too busy my one body isn’t enough  mic drop mic drop careful of your feet careful of what you say   this is the the exact saying right will prevail in the end once upon a time aesop’s fables fly look at your reality too bad even if i die now i’m damn happy which country are we going to this time spending hours on a plane yeah i’m on the mountain yeah i’m on the bay total exhaustion on the stage mic drop baam   did you see my bag did you see my bag my bag’s filled with trophies how you think bout that how you think bout that haters are already giving up so many trophies in my hands too heavy my hands aren’t enough mic drop mic drop careful of your feet careful of what you say   so many trophies in my hands too heavy my hands aren’t enough mic drop mic drop careful of your feet careful of what you say lodi dodi i’m so busy too busy my one body isn’t enough mic drop mic drop careful of your feet careful of what you say   haters gon’ hate players gon’ play live a life man good luck   no need to see each other ever again this is my last goodbye nothing more left to say don’t even apologize no need to see each other ever again this is my last goodbye nothing more left to say don’t even apologize look closely look at your pathetic self we shoot up just like cocacola your corneas will be so shocked cause we’re just so cool  ,1,0.183,0.681,0.137,-0.985
17,134340,   if only i could i wanted to ask you why did you do that back then why did you kick me out without a name to myself i still revolve around you our goodbye is colorless that unchanging color   there’s no name allowed for me i too used to be your star you must feel nice to be the light all i did was to receive you  what meaning is left of the fallen planet’s remaining life i’ll receive it til i die your stifling stare i still orbit you and nothing’s changed if love has no name everything has changed  could it be really that you’ve found eris tell me how am i not as good as that moon us is the plural form of u maybe i wasn’t there from the start  someday you’ll also understand my words my seasons were always you my cold heart is 248 degrees below zero it stopped the day you erased me damn   i’m just orbiting you  i’m just going in circles    i once belonged in a world under the sun  a smoky layer of mist in the heart of the stars    it’s not much different from yesterday ay same old days except you’re not here we were together just up until yesterday ay but it’s to the point where it’s scary same days but no you  i’ll be honest even up until one year without you i was fine i didn’t have any feelings left the last day i had forgotten i don’t even remember your scent  but wait i’ve smelled this perfume somewhere ay just when my memory was about to come back i turned my head around and saw you you’re smiling brightly but beside you there’s  ah  hello how are you i’m doing okay unlike my heart that feels like it’ll explode the temperature right now is 248 degrees   i’m just orbiting you  i’m just going in circles    i once belonged in a world under the sun  a smoky layer of mist in the heart of the stars    i’m just orbiting you   i’m just going in circles    i’m just orbiting you  i’m just going in circles    i once belonged in a world under the sun  a smoky layer of mist in the heart of the stars   ,1,0.063,0.882,0.055,0.2867
18,paradise,   marathon marathon life’s long so take it slow 42195 the end is filled with a paradise of dreams   but the real world is different from what’s promised we need to run we need to step on it if you shoot a flare you don’t have a destination there’s no sceneries at all until your breath comes up to your chin you need to you need to   it’s alright to stop there’s no need to run without even knowing the reason it’s alright to not have a dream if you have moments where you feel happiness for a while it’s alright to stop now we don’t run without knowing the destination it’s alright to not have a dream all the breaths you breathe are already in paradise   we borrow dreams from others  we learn that we need to become great  your dream is actually a burden if having a future is a dream then what is the dream you had last night in your bed it’s alright if the name of the dream is different be it buying a laptop next month or just eating and sleeping not doing anything at all and still having a lot of money who says a dream must be something grand just become anybody we deserve a life whatever big or small you are you after all   but the real world is different from what’s promised we need to run we need to step on it if you shoot a flare you don’t have a destination there’s no sceneries at all until your breath comes up to your chin you need to you need to   it’s alright to stop there’s no need to run without even knowing the reason it’s alright to not have a dream if you have moments where you feel happiness for a while it’s alright to stop now we don’t run without knowing the destination it’s alright to not have a dream all the breaths you breathe are already in paradise   i don’t have a dream to have a dream is sometimes scary to just live like this to survive like this is a small dream to me to have a dream to grasp a dream to breathe is sometimes too much to handle saying this person’s living like this that person’s living like that the world’s swearing at me   yeah the world doesn’t have the right to swear what is the way to dream a dream since they never taught us that in the made up dream sleeptalk of tears waking up from a nightmare for you now let’s try to smile everyday in that paradise   it’s alright to stop now we don’t run without even knowing the destination it’s alright to not have a dream all the breaths you breathe are already in paradise   stop runnin’ for nothin’ my friend now stop that foolish race stop runnin’ for nothin’ my friend all the breaths you breathe are already in paradise stop runnin’ for nothin’ my friend you don’t need something like a dream that everyone dreams stop runnin’ for nothin’ my friend every language that makes you is already in paradise  ,1,0.156,0.632,0.212,0.9953
19,love-maze,   cuz i’ll be in love maze cuz i’ll be in love maze   trapped in a maze of decisions exhausted by all the different chaos we’ve wandered around looking for the answer lost in the maze in the darkness   we ran and ran endlessly but all the fake noise can’t tear us apart it’s true baby   we must believe only in ourselves can’t let go of each other’s hands we need to be together forever   people say that i’ll end up a fool but i don’t wanna use my head i don’t wanna calculate love ain’t a business rather like a fitness i’ve never been in a calculating love i know it’ll be cold like winter but i still wanna try if you push me i’ll fall just raise me up again even if i pull you don’t have to come let them be them let us be us love is a maze damn but you is amaze yeah   take my ay ay hand don’t let go lie ay ay in this maze my ay ay never lose me in love maze take my ay ay hand don’t let go my ay ay come closer my ay ay never go away in love maze   no matter what others say don’t listen just let’em talk whatever they say the more they do the more i’m sure yeah yeah yeah yeah yeah yeah   can’t you hear me you have to trust me baby just don’t give a damn promise promise me   all around us is a maze different paths we’re walking in this abyss there’s a thin light over there i hope we’re going toward paradise know this sometimes lies will try to tear us apart hardships will try to deceive us but just focus on me then in the darkness just the two of us is enough in all these lies if we’re together even an endless maze is paradise   take my ay ay hand don’t let go lie ay ay in this maze my ay ay never lose me in love maze   what can we do we did the official thing so we need to follow the rules even in this wandering maze even on this mysterious path we’re taking care of each other i always think even if eternity is hard i wanna try it let’s be forever our own mountain our own climb our own world our own heart travel toward the exit our held hands will be the map   take my ay ay hand don’t let go lie ay ay in this maze my ay ay never lose me in love maze take my ay ay hand don’t let go my ay ay come closer my ay ay never go away in love maze  ,1,0.071,0.664,0.265,0.999
